season,week,contestant,is_eliminated,judge_score,judge_percentile,vote_share_mean,vote_share_std,cv,ci_lower,ci_upper,ci_width,relative_uncertainty
1,1,John O'Hurley,False,20.0,83.33333333333334,0.1454016157884908,0.10778760790263521,0.741309560034725,0.012167265718636695,0.41938210407609033,0.40721483835745365,2.800621133878929
1,1,Kelly Monaco,False,13.0,16.666666666666668,0.2420495093867721,0.11194444081462664,0.4624857164634921,0.08168265218186074,0.5007388292203506,0.41905617703848985,1.7312829012834297
1,1,Evander Holyfield,False,18.0,41.66666666666667,0.1977510011675182,0.11785597303319521,0.5959816753279508,0.03864737106043298,0.49601393986633596,0.457366568805903,2.3128407233052437
1,1,Rachel Hunter,False,20.0,83.33333333333334,0.15628641415223232,0.1180712219095881,0.7554797547471509,0.011534566115285264,0.453731139241961,0.44219657312667576,2.8293986732142304
1,1,Joey McIntyre,False,20.0,83.33333333333334,0.19998514351923127,0.13011734176850584,0.6506350392519522,0.023032397060131313,0.5120296602806412,0.4889972632205099,2.445167947832932
1,1,Trista Sutter,True,18.0,41.66666666666667,0.058526315985758366,0.038697811529190634,0.6612036109104645,0.005214977481917022,0.14264300144207936,0.13742802396016235,2.348140685273777
1,2,John O'Hurley,False,26.0,100.0,0.15562979910510932,0.10713568192954112,0.6884008234717548,0.019856418590058402,0.4253205665036199,0.4054641479135615,2.6053117718104084
1,2,Kelly Monaco,False,17.0,33.333333333333336,0.2113777395736115,0.10993565877730602,0.5200909941938907,0.05060083320252129,0.4758841036944559,0.4252832704919346,2.0119586440304205
1,2,Evander Holyfield,False,14.0,16.666666666666668,0.23737840734691296,0.10600289762803543,0.44655661299666355,0.08308713624782647,0.489605721029864,0.4065185847820375,1.7125339627739766
1,2,Rachel Hunter,False,24.0,83.33333333333334,0.1503988632354198,0.10653337735664802,0.7083389793914672,0.013932963739860036,0.4105744758456258,0.39664151210576576,2.637264027861535
1,2,Joey McIntyre,False,21.0,66.66666666666667,0.19298038960890876,0.12408130270645966,0.6429736352674158,0.037512020892295724,0.5073897189635359,0.4698776980712402,2.4348468711251066
1,2,Trista Sutter,True,19.0,50.0,0.052234801130032794,0.03406714255362478,0.6521924416558824,0.0048161107141577834,0.1322107812920888,0.12739467057793102,2.4388849498422998
1,3,John O'Hurley,False,24.0,80.0,0.2081844946086066,0.1422233665406961,0.6831602264124639,0.01604472229934895,0.5319108009058554,0.5158660786065065,2.477927471633073
1,3,Kelly Monaco,False,21.0,40.0,0.2558325633411133,0.1352525872143544,0.5286761989760791,0.04589654928313457,0.5535109705249761,0.5076144212418415,1.9841665752557043
